source,engine,terrain,case,seed,outcome,completed,failure_flags
fresh,Isaac,flat,vy_+0.30,8227,tracking_failure,True,tracking_failure
fresh,Isaac,flat,vy_+0.30,8228,tracking_failure,True,tracking_failure
fresh,Isaac,flat,vy_+0.30,8229,tracking_failure,True,tracking_failure
fresh,Isaac,flat,vy_+0.30,8230,tracking_failure,True,tracking_failure
fresh,Isaac,flat,vy_+0.30,8231,tracking_failure,True,tracking_failure
fresh,Isaac,flat,vy_+0.30,8232,tracking_failure,True,tracking_failure
fresh,Isaac,flat,vy_-0.50,8201,success,True,
fresh,Isaac,flat,vy_-0.50,8202,success,True,
fresh,Isaac,flat,vy_-0.50,8203,success,True,
fresh,Isaac,flat,vy_-0.50,8204,success,True,
fresh,Isaac,flat,vy_-0.50,8205,success,True,
fresh,Isaac,flat,vy_-0.50,8206,success,True,
fresh,Isaac,flat,vy_-0.50,8207,success,True,
fresh,Isaac,flat,vy_-0.50,8208,success,True,
fresh,Isaac,flat,vy_-0.50,8209,success,True,
fresh,Isaac,flat,vy_-0.50,8210,success,True,
fresh,Isaac,flat,vy_-0.50,8211,success,True,
fresh,Isaac,flat,vy_-0.50,8212,success,True,
fresh,Isaac,flat,vy_-0.50,8213,success,True,
fresh,Isaac,flat,vy_-0.50,8214,success,True,
fresh,Isaac,flat,vy_-0.50,8215,success,True,
fresh,Isaac,flat,vy_-0.50,8216,success,True,
fresh,Isaac,flat,vy_-0.50,8217,success,True,
fresh,Isaac,flat,vy_-0.50,8218,success,True,
fresh,Isaac,flat,vy_-0.50,8219,success,True,
fresh,Isaac,flat,vy_-0.50,8220,success,True,
fresh,Isaac,flat,vy_-0.50,8221,success,True,
fresh,Isaac,flat,vy_-0.50,8222,success,True,
fresh,Isaac,flat,vy_-0.50,8223,success,True,
fresh,Isaac,flat,vy_-0.50,8224,success,True,
fresh,Isaac,flat,vy_-0.50,8225,success,True,
fresh,Isaac,flat,vy_-0.50,8226,success,True,
fresh,Isaac,flat,vy_-0.50,8227,success,True,
